Year,NOC,Sex,Total,Gold,Silver,Bronze,No medal
1976,CAN,F,0,0,0,0,0
1976,CAN,M,0,0,0,0,0
1976,CRC,M,0,0,0,0,0
1976,DEN,M,0,0,0,0,0
1976,FIN,M,0,0,0,0,0
1976,FRA,F,0,0,0,0,0
1976,FRA,M,0,0,0,0,0
1976,FRG,F,0,0,0,0,0
1976,FRG,M,0,0,0,0,0
1976,GBR,F,0,0,0,0,0
1976,GBR,M,0,0,0,0,0
1976,INA,F,0,0,0,0,0
1976,INA,M,0,0,0,0,0
1976,IRL,M,0,0,0,0,0
1976,ITA,F,0,0,0,0,0
1976,ITA,M,1,0,0,1,0
1976,JPN,F,0,0,0,0,0
1976,JPN,M,1,0,1,0,0
1976,MGL,F,0,0,0,0,0
1976,MGL,M,0,0,0,0,0
1976,NOR,M,0,0,0,0,0
1976,POL,F,0,0,0,0,0
1976,POL,M,0,0,0,0,0
1976,PRK,F,0,0,0,0,0
1976,PUR,F,0,0,0,0,0
1976,PUR,M,0,0,0,0,0
1976,SWE,F,0,0,0,0,0
1976,SWE,M,0,0,0,0,0
1976,THA,F,0,0,0,0,0
1976,THA,M,0,0,0,0,0
1976,URS,F,2,0,1,1,0
1976,URS,M,0,0,0,0,0
1976,USA,F,1,1,0,0,0
1976,USA,M,1,1,0,0,0
1976,YUG,M,0,0,0,0,0
1980,AUS,F,0,0,0,0,0
1980,AUS,M,0,0,0,0,0
1980,AUT,M,0,0,0,0,0
1980,BEL,M,0,0,0,0,0
1980,BRA,F,0,0,0,0,0
1980,BRA,M,0,0,0,0,0
1980,BUL,F,0,0,0,0,0
1980,BUL,M,0,0,0,0,0
1980,CRC,M,0,0,0,0,0
1980,ESP,M,0,0,0,0,0
1980,FIN,F,1,0,0,1,0
1980,FIN,M,1,1,0,0,0
1980,GBR,F,0,0,0,0,0
1980,GBR,M,0,0,0,0,0
1980,HUN,F,0,0,0,0,0
1980,HUN,M,0,0,0,0,0
1980,IRL,F,0,0,0,0,0
1980,IRL,M,0,0,0,0,0
1980,ITA,F,0,0,0,0,0
1980,ITA,M,1,0,0,1,0
1980,LUX,M,0,0,0,0,0
1980,MGL,F,0,0,0,0,0
1980,MGL,M,0,0,0,0,0
1980,MLT,F,0,0,0,0,0
1980,MLT,M,0,0,0,0,0
1980,NED,F,0,0,0,0,0
1980,NED,M,0,0,0,0,0
1980,POL,F,0,0,0,0,0
1980,POL,M,0,0,0,0,0
1980,PRK,F,0,0,0,0,0
1980,PRK,M,0,0,0,0,0
1980,ROU,F,0,0,0,0,0
1980,ROU,M,0,0,0,0,0
1980,SUI,F,0,0,0,0,0
1980,SUI,M,0,0,0,0,0
1980,SWE,F,0,0,0,0,0
1980,SWE,M,0,0,0,0,0
1980,TCH,F,0,0,0,0,0
1980,TCH,M,0,0,0,0,0
1980,URS,F,2,1,1,0,0
1980,URS,M,1,0,1,0,0
1980,YUG,M,0,0,0,0,0
1980,ZIM,M,0,0,0,0,0
1984,AUS,F,0,0,0,0,0
1984,AUS,M,0,0,0,0,0
1984,AUT,F,0,0,0,0,0
1984,BEL,F,0,0,0,0,0
1984,BEL,M,0,0,0,0,0
1984,BHU,F,0,0,0,0,0
1984,BHU,M,0,0,0,0,0
1984,BRA,M,0,0,0,0,0
1984,CAN,F,0,0,0,0,0
1984,CHN,F,1,0,1,0,0
1984,CHN,M,0,0,0,0,0
1984,COL,M,0,0,0,0,0
1984,ESP,F,0,0,0,0,0
1984,ESP,M,0,0,0,0,0
1984,FIN,F,0,0,0,0,0
1984,FIN,M,0,0,0,0,0
1984,FRA,M,0,0,0,0,0
1984,FRG,F,0,0,0,0,0
1984,FRG,M,0,0,0,0,0
1984,GBR,F,0,0,0,0,0
1984,GBR,M,0,0,0,0,0
1984,HKG,F,0,0,0,0,0
1984,HKG,M,0,0,0,0,0
1984,INA,M,0,0,0,0,0
1984,IRL,F,0,0,0,0,0
1984,ITA,F,0,0,0,0,0
1984,ITA,M,0,0,0,0,0
1984,JPN,F,0,0,0,0,0
1984,JPN,M,1,0,0,1,0
1984,KOR,F,2,1,0,1,0
1984,KOR,M,0,0,0,0,0
1984,KSA,M,0,0,0,0,0
1984,LUX,F,0,0,0,0,0
1984,LUX,M,0,0,0,0,0
1984,MEX,F,0,0,0,0,0
1984,MEX,M,0,0,0,0,0
1984,MLT,F,0,0,0,0,0
1984,MON,M,0,0,0,0,0
1984,NED,F,0,0,0,0,0
1984,NED,M,0,0,0,0,0
1984,NOR,M,0,0,0,0,0
1984,NZL,F,0,0,0,0,0
1984,NZL,M,0,0,0,0,0
1984,POR,M,0,0,0,0,0
1984,PUR,M,0,0,0,0,0
1984,SUI,F,0,0,0,0,0
1984,SUI,M,0,0,0,0,0
1984,SWE,F,0,0,0,0,0
1984,SWE,M,0,0,0,0,0
1984,THA,M,0,0,0,0,0
1984,TPE,F,0,0,0,0,0
1984,TPE,M,0,0,0,0,0
1984,TUR,M,0,0,0,0,0
1984,USA,F,0,0,0,0,0
1984,USA,M,2,1,1,0,0
1988,ARG,M,0,0,0,0,0
1988,AUS,M,0,0,0,0,0
1988,BEL,M,0,0,0,0,0
1988,BHU,M,0,0,0,0,0
1988,BRA,M,0,0,0,0,0
1988,CAN,F,0,0,0,0,0
1988,CAN,M,0,0,0,0,0
1988,CHN,F,0,0,0,0,0
1988,CHN,M,0,0,0,0,0
1988,DEN,M,0,0,0,0,0
1988,ESP,F,0,0,0,0,0
1988,ESP,M,0,0,0,0,0
1988,FIN,F,0,0,0,0,0
1988,FIN,M,0,0,0,0,0
1988,FRA,F,0,0,0,0,0
1988,FRA,M,0,0,0,0,0
1988,FRG,F,0,0,0,0,0
1988,FRG,M,0,0,0,0,0
1988,GBR,F,0,0,0,0,0
1988,GBR,M,3,0,0,3,0
1988,HKG,F,0,0,0,0,0
1988,HKG,M,0,0,0,0,0
1988,INA,F,3,0,3,0,0
1988,INA,M,0,0,0,0,0
1988,IND,M,0,0,0,0,0
1988,IRL,F,0,0,0,0,0
1988,IRL,M,0,0,0,0,0
1988,ITA,M,0,0,0,0,0
1988,JOR,F,0,0,0,0,0
1988,JPN,F,0,0,0,0,0
1988,JPN,M,0,0,0,0,0
1988,KOR,F,6,4,1,1,0
1988,KOR,M,4,3,1,0,0
1988,KSA,M,0,0,0,0,0
1988,LUX,F,0,0,0,0,0
1988,MEX,F,0,0,0,0,0
1988,MEX,M,0,0,0,0,0
1988,MGL,F,0,0,0,0,0
1988,MLT,F,0,0,0,0,0
1988,MON,M,0,0,0,0,0
1988,NED,F,0,0,0,0,0
1988,NED,M,0,0,0,0,0
1988,NZL,F,0,0,0,0,0
1988,PHI,F,0,0,0,0,0
1988,PHI,M,0,0,0,0,0
1988,POL,F,0,0,0,0,0
1988,POR,F,0,0,0,0,0
1988,POR,M,0,0,0,0,0
1988,PUR,F,0,0,0,0,0
1988,PUR,M,0,0,0,0,0
1988,SOL,M,0,0,0,0,0
1988,SUI,F,0,0,0,0,0
1988,SWE,F,0,0,0,0,0
1988,SWE,M,0,0,0,0,0
1988,TPE,F,0,0,0,0,0
1988,TPE,M,0,0,0,0,0
1988,TUR,F,0,0,0,0,0
1988,TUR,M,0,0,0,0,0
1988,URS,F,0,0,0,0,0
1988,URS,M,1,0,0,1,0
1988,USA,F,3,0,0,3,0
1988,USA,M,4,1,3,0,0
1988,ZIM,F,0,0,0,0,0
1988,ZIM,M,0,0,0,0,0
1992,AUS,M,0,0,0,0,0
1992,BEL,M,0,0,0,0,0
1992,BHU,F,0,0,0,0,0
1992,BHU,M,0,0,0,0,0
1992,BRA,M,0,0,0,0,0
1992,BUL,M,0,0,0,0,0
1992,CAN,M,0,0,0,0,0
1992,CHN,F,3,0,3,0,0
1992,CHN,M,0,0,0,0,0
1992,COL,F,0,0,0,0,0
1992,CRC,F,0,0,0,0,0
1992,CYP,M,0,0,0,0,0
1992,DEN,M,0,0,0,0,0
1992,ESP,F,0,0,0,0,0
1992,ESP,M,3,3,0,0,0
1992,EST,M,0,0,0,0,0
1992,EUN,F,4,0,0,4,0
1992,EUN,M,0,0,0,0,0
1992,FIN,M,3,0,3,0,0
1992,FRA,F,0,0,0,0,0
1992,FRA,M,1,1,0,0,0
1992,GBR,F,0,0,0,0,0
1992,GBR,M,4,0,0,4,0
1992,GER,F,0,0,0,0,0
1992,GER,M,0,0,0,0,0
1992,GUM,M,0,0,0,0,0
1992,HKG,M,0,0,0,0,0
1992,HUN,F,0,0,0,0,0
1992,INA,F,0,0,0,0,0
1992,INA,M,0,0,0,0,0
1992,IND,M,0,0,0,0,0
1992,IRL,M,0,0,0,0,0
1992,ITA,F,0,0,0,0,0
1992,ITA,M,0,0,0,0,0
1992,JPN,F,0,0,0,0,0
1992,JPN,M,0,0,0,0,0
1992,KOR,F,5,4,1,0,0
1992,KOR,M,1,0,1,0,0
1992,LUX,F,0,0,0,0,0
1992,MEX,F,0,0,0,0,0
1992,MEX,M,0,0,0,0,0
1992,MGL,F,0,0,0,0,0
1992,NED,F,0,0,0,0,0
1992,NED,M,0,0,0,0,0
1992,NOR,M,0,0,0,0,0
1992,NZL,F,0,0,0,0,0
1992,POL,F,0,0,0,0,0
1992,POL,M,0,0,0,0,0
1992,POR,F,0,0,0,0,0
1992,PRK,F,0,0,0,0,0
1992,RSA,F,0,0,0,0,0
1992,RSA,M,0,0,0,0,0
1992,SLO,M,0,0,0,0,0
1992,SMR,M,0,0,0,0,0
1992,SWE,F,0,0,0,0,0
1992,TCH,M,0,0,0,0,0
1992,TPE,F,0,0,0,0,0
1992,TUR,F,0,0,0,0,0
1992,TUR,M,0,0,0,0,0
1992,USA,F,0,0,0,0,0
1992,USA,M,0,0,0,0,0
1996,AUS,F,0,0,0,0,0
1996,AUS,M,0,0,0,0,0
1996,BEL,M,0,0,0,0,0
1996,BHU,F,0,0,0,0,0
1996,BHU,M,0,0,0,0,0
1996,BLR,F,0,0,0,0,0
1996,BUL,M,0,0,0,0,0
1996,CAN,M,0,0,0,0,0
1996,CHN,F,1,0,1,0,0
1996,CHN,M,0,0,0,0,0
1996,ESP,M,0,0,0,0,0
1996,EST,M,0,0,0,0,0
1996,FIN,M,0,0,0,0,0
1996,FRA,F,0,0,0,0,0
1996,FRA,M,0,0,0,0,0
1996,GBR,F,0,0,0,0,0
1996,GBR,M,0,0,0,0,0
1996,GEO,F,0,0,0,0,0
1996,GER,F,3,0,3,0,0
1996,HUN,F,0,0,0,0,0
1996,INA,F,0,0,0,0,0
1996,IND,M,0,0,0,0,0
1996,IRL,M,0,0,0,0,0
1996,ITA,F,0,0,0,0,0
1996,ITA,M,3,0,0,3,0
1996,JPN,F,0,0,0,0,0
1996,JPN,M,0,0,0,0,0
1996,KAZ,F,0,0,0,0,0
1996,KAZ,M,0,0,0,0,0
1996,KEN,F,0,0,0,0,0
1996,KEN,M,0,0,0,0,0
1996,KOR,F,4,4,0,0,0
1996,KOR,M,4,0,3,1,0
1996,MDA,F,0,0,0,0,0
1996,MEX,F,0,0,0,0,0
1996,MEX,M,0,0,0,0,0
1996,MGL,F,0,0,0,0,0
1996,NED,F,0,0,0,0,0
1996,NOR,F,0,0,0,0,0
1996,NOR,M,0,0,0,0,0
1996,NZL,M,0,0,0,0,0
1996,POL,F,3,0,0,3,0
1996,POL,M,0,0,0,0,0
1996,POR,M,0,0,0,0,0
1996,PUR,F,0,0,0,0,0
1996,RSA,F,0,0,0,0,0
1996,RUS,F,0,0,0,0,0
1996,RUS,M,0,0,0,0,0
1996,SLO,M,0,0,0,0,0
1996,SMR,M,0,0,0,0,0
1996,SWE,F,0,0,0,0,0
1996,SWE,M,1,0,1,0,0
1996,TPE,F,0,0,0,0,0
1996,TPE,M,0,0,0,0,0
1996,TUR,F,0,0,0,0,0
1996,TUR,M,0,0,0,0,0
1996,UKR,F,1,0,0,1,0
1996,UKR,M,0,0,0,0,0
1996,USA,F,0,0,0,0,0
1996,USA,M,4,4,0,0,0
2000,ASA,M,0,0,0,0,0
2000,AUS,F,0,0,0,0,0
2000,AUS,M,1,1,0,0,0
2000,BEL,M,0,0,0,0,0
2000,BHU,F,0,0,0,0,0
2000,BHU,M,0,0,0,0,0
2000,BLR,F,0,0,0,0,0
2000,CAF,F,0,0,0,0,0
2000,CAN,M,0,0,0,0,0
2000,CHI,F,0,0,0,0,0
2000,CHN,F,0,0,0,0,0
2000,CHN,M,0,0,0,0,0
2000,CUB,F,0,0,0,0,0
2000,CUB,M,0,0,0,0,0
2000,DEN,F,0,0,0,0,0
2000,EGY,M,0,0,0,0,0
2000,ESA,M,0,0,0,0,0
2000,ESP,F,0,0,0,0,0
2000,FIN,F,0,0,0,0,0
2000,FIN,M,0,0,0,0,0
2000,FRA,F,0,0,0,0,0
2000,FRA,M,0,0,0,0,0
2000,GBR,F,0,0,0,0,0
2000,GBR,M,0,0,0,0,0
2000,GEO,F,0,0,0,0,0
2000,GER,F,3,0,0,3,0
2000,GER,M,0,0,0,0,0
2000,GRE,F,0,0,0,0,0
2000,INA,F,0,0,0,0,0
2000,ITA,F,0,0,0,0,0
2000,ITA,M,3,0,3,0,0
2000,JPN,F,0,0,0,0,0
2000,JPN,M,0,0,0,0,0
2000,KAZ,F,0,0,0,0,0
2000,KAZ,M,0,0,0,0,0
2000,KEN,M,0,0,0,0,0
2000,KOR,F,6,4,1,1,0
2000,KOR,M,3,3,0,0,0
2000,MEX,F,0,0,0,0,0
2000,MEX,M,0,0,0,0,0
2000,MRI,M,0,0,0,0,0
2000,MYA,F,0,0,0,0,0
2000,NED,M,1,0,0,1,0
2000,NOR,F,0,0,0,0,0
2000,NOR,M,0,0,0,0,0
2000,NZL,M,0,0,0,0,0
2000,PHI,F,0,0,0,0,0
2000,POL,F,0,0,0,0,0
2000,POL,M,0,0,0,0,0
2000,POR,M,0,0,0,0,0
2000,PRK,F,0,0,0,0,0
2000,RSA,F,0,0,0,0,0
2000,RUS,F,0,0,0,0,0
2000,RUS,M,0,0,0,0,0
2000,SLO,M,0,0,0,0,0
2000,SWE,F,0,0,0,0,0
2000,SWE,M,0,0,0,0,0
2000,TPE,F,0,0,0,0,0
2000,TUR,F,0,0,0,0,0
2000,TUR,M,0,0,0,0,0
2000,UGA,F,0,0,0,0,0
2000,UKR,F,3,0,3,0,0
2000,UKR,M,0,0,0,0,0
2000,USA,F,0,0,0,0,0
2000,USA,M,4,0,1,3,0
2000,VAN,M,0,0,0,0,0
2004,AUS,F,0,0,0,0,0
2004,AUS,M,1,0,0,1,0
2004,BHU,F,0,0,0,0,0
2004,BHU,M,0,0,0,0,0
2004,BLR,F,0,0,0,0,0
2004,BLR,M,0,0,0,0,0
2004,BUL,M,0,0,0,0,0
2004,CAN,F,0,0,0,0,0
2004,CAN,M,0,0,0,0,0
2004,CHN,F,3,0,3,0,0
2004,CHN,M,0,0,0,0,0
2004,CUB,F,0,0,0,0,0
2004,DEN,M,0,0,0,0,0
2004,EGY,F,0,0,0,0,0
2004,EGY,M,0,0,0,0,0
2004,ESA,M,0,0,0,0,0
2004,ESP,F,0,0,0,0,0
2004,ESP,M,0,0,0,0,0
2004,FIJ,M,0,0,0,0,0
2004,FIN,F,0,0,0,0,0
2004,FRA,F,0,0,0,0,0
2004,FRA,M,0,0,0,0,0
2004,GBR,F,1,0,0,1,0
2004,GBR,M,0,0,0,0,0
2004,GEO,F,0,0,0,0,0
2004,GER,F,0,0,0,0,0
2004,GER,M,0,0,0,0,0
2004,GRE,F,0,0,0,0,0
2004,GRE,M,0,0,0,0,0
2004,INA,F,0,0,0,0,0
2004,INA,M,0,0,0,0,0
2004,IND,F,0,0,0,0,0
2004,IND,M,0,0,0,0,0
2004,ITA,F,0,0,0,0,0
2004,ITA,M,1,1,0,0,0
2004,JPN,F,0,0,0,0,0
2004,JPN,M,1,0,1,0,0
2004,KAZ,F,0,0,0,0,0
2004,KAZ,M,0,0,0,0,0
2004,KOR,F,5,4,1,0,0
2004,KOR,M,3,3,0,0,0
2004,LAO,M,0,0,0,0,0
2004,LUX,M,0,0,0,0,0
2004,MAS,F,0,0,0,0,0
2004,MEX,M,0,0,0,0,0
2004,MRI,M,0,0,0,0,0
2004,MYA,F,0,0,0,0,0
2004,NED,M,0,0,0,0,0
2004,NZL,M,0,0,0,0,0
2004,PHI,F,0,0,0,0,0
2004,POL,F,0,0,0,0,0
2004,POL,M,0,0,0,0,0
2004,RSA,F,0,0,0,0,0
2004,RUS,F,0,0,0,0,0
2004,RUS,M,0,0,0,0,0
2004,SWE,M,0,0,0,0,0
2004,TGA,M,0,0,0,0,0
2004,TJK,F,0,0,0,0,0
2004,TPE,F,3,0,0,3,0
2004,TPE,M,3,0,3,0,0
2004,TUR,F,0,0,0,0,0
2004,TUR,M,0,0,0,0,0
2004,UKR,F,0,0,0,0,0
2004,UKR,M,3,0,0,3,0
2004,USA,F,0,0,0,0,0
2004,USA,M,0,0,0,0,0
2008,AUS,F,0,0,0,0,0
2008,AUS,M,0,0,0,0,0
2008,BHU,F,0,0,0,0,0
2008,BHU,M,0,0,0,0,0
2008,BLR,F,0,0,0,0,0
2008,BLR,M,0,0,0,0,0
2008,BRA,M,0,0,0,0,0
2008,BUL,M,0,0,0,0,0
2008,CAN,F,0,0,0,0,0
2008,CAN,M,0,0,0,0,0
2008,CHN,F,4,1,3,0,0
2008,CHN,M,3,0,0,3,0
2008,COL,F,0,0,0,0,0
2008,CUB,M,0,0,0,0,0
2008,CYP,F,0,0,0,0,0
2008,CZE,F,0,0,0,0,0
2008,CZE,M,0,0,0,0,0
2008,DEN,F,0,0,0,0,0
2008,DEN,M,0,0,0,0,0
2008,EGY,F,0,0,0,0,0
2008,EGY,M,0,0,0,0,0
2008,ESP,M,0,0,0,0,0
2008,FIN,M,0,0,0,0,0
2008,FRA,F,3,0,0,3,0
2008,FRA,M,0,0,0,0,0
2008,GBR,F,0,0,0,0,0
2008,GBR,M,0,0,0,0,0
2008,GEO,F,0,0,0,0,0
2008,GER,F,0,0,0,0,0
2008,GER,M,0,0,0,0,0
2008,GRE,F,0,0,0,0,0
2008,INA,F,0,0,0,0,0
2008,IND,F,0,0,0,0,0
2008,IND,M,0,0,0,0,0
2008,IRI,F,0,0,0,0,0
2008,IRI,M,0,0,0,0,0
2008,ITA,F,0,0,0,0,0
2008,ITA,M,3,0,3,0,0
2008,JPN,F,0,0,0,0,0
2008,JPN,M,0,0,0,0,0
2008,KAZ,F,0,0,0,0,0
2008,KOR,F,5,3,1,1,0
2008,KOR,M,4,3,1,0,0
2008,MAR,F,0,0,0,0,0
2008,MAS,M,0,0,0,0,0
2008,MEX,F,0,0,0,0,0
2008,MEX,M,0,0,0,0,0
2008,MRI,F,0,0,0,0,0
2008,MYA,M,0,0,0,0,0
2008,PHI,M,0,0,0,0,0
2008,POL,F,0,0,0,0,0
2008,POL,M,0,0,0,0,0
2008,POR,M,0,0,0,0,0
2008,PRK,F,0,0,0,0,0
2008,QAT,M,0,0,0,0,0
2008,ROU,M,0,0,0,0,0
2008,RSA,M,0,0,0,0,0
2008,RUS,F,0,0,0,0,0
2008,RUS,M,1,0,0,1,0
2008,SAM,M,0,0,0,0,0
2008,SUI,F,0,0,0,0,0
2008,SWE,M,0,0,0,0,0
2008,TJK,F,0,0,0,0,0
2008,TPE,F,0,0,0,0,0
2008,TPE,M,0,0,0,0,0
2008,TUR,F,0,0,0,0,0
2008,TUR,M,0,0,0,0,0
2008,UKR,F,0,0,0,0,0
2008,UKR,M,1,1,0,0,0
2008,USA,F,0,0,0,0,0
2008,USA,M,0,0,0,0,0
2008,VEN,F,0,0,0,0,0
2012,AUS,F,0,0,0,0,0
2012,AUS,M,0,0,0,0,0
2012,BAN,M,0,0,0,0,0
2012,BHU,F,0,0,0,0,0
2012,BLR,F,0,0,0,0,0
2012,BRA,M,0,0,0,0,0
2012,BUL,M,0,0,0,0,0
2012,CAN,F,0,0,0,0,0
2012,CAN,M,0,0,0,0,0
2012,CHI,F,0,0,0,0,0
2012,CHN,F,3,0,3,0,0
2012,CHN,M,1,0,0,1,0
2012,CIV,M,0,0,0,0,0
2012,COL,F,0,0,0,0,0
2012,COL,M,0,0,0,0,0
2012,CUB,M,0,0,0,0,0
2012,DEN,F,0,0,0,0,0
2012,EGY,F,0,0,0,0,0
2012,EGY,M,0,0,0,0,0
2012,ESP,F,0,0,0,0,0
2012,ESP,M,0,0,0,0,0
2012,EST,F,0,0,0,0,0
2012,FIJ,M,0,0,0,0,0
2012,FRA,F,0,0,0,0,0
2012,FRA,M,0,0,0,0,0
2012,GBR,F,0,0,0,0,0
2012,GBR,M,0,0,0,0,0
2012,GEO,F,0,0,0,0,0
2012,GER,F,0,0,0,0,0
2012,GER,M,0,0,0,0,0
2012,GRE,F,0,0,0,0,0
2012,HKG,M,0,0,0,0,0
2012,INA,F,0,0,0,0,0
2012,IND,F,0,0,0,0,0
2012,IND,M,0,0,0,0,0
2012,IRI,F,0,0,0,0,0
2012,IRI,M,0,0,0,0,0
2012,IRQ,F,0,0,0,0,0
2012,ITA,F,0,0,0,0,0
2012,ITA,M,3,3,0,0,0
2012,JPN,F,3,0,0,3,0
2012,JPN,M,1,0,1,0,0
2012,KAZ,F,0,0,0,0,0
2012,KAZ,M,0,0,0,0,0
2012,KOR,F,4,4,0,0,0
2012,KOR,M,4,1,0,3,0
2012,LUX,M,0,0,0,0,0
2012,MAS,F,0,0,0,0,0
2012,MAS,M,0,0,0,0,0
2012,MDA,M,0,0,0,0,0
2012,MEX,F,2,0,1,1,0
2012,MEX,M,0,0,0,0,0
2012,MGL,F,0,0,0,0,0
2012,MGL,M,0,0,0,0,0
2012,MYA,M,0,0,0,0,0
2012,NED,M,0,0,0,0,0
2012,NOR,M,0,0,0,0,0
2012,PHI,F,0,0,0,0,0
2012,PHI,M,0,0,0,0,0
2012,POL,F,0,0,0,0,0
2012,POL,M,0,0,0,0,0
2012,PRK,F,0,0,0,0,0
2012,RSA,F,0,0,0,0,0
2012,RUS,F,0,0,0,0,0
2012,SAM,F,0,0,0,0,0
2012,SLO,M,0,0,0,0,0
2012,SMR,M,0,0,0,0,0
2012,SUI,F,0,0,0,0,0
2012,SUI,M,0,0,0,0,0
2012,SWE,F,0,0,0,0,0
2012,THA,M,0,0,0,0,0
2012,TPE,F,0,0,0,0,0
2012,TPE,M,0,0,0,0,0
2012,TUR,F,0,0,0,0,0
2012,UKR,F,0,0,0,0,0
2012,UKR,M,0,0,0,0,0
2012,USA,F,0,0,0,0,0
2012,USA,M,3,0,3,0,0
2012,VEN,F,0,0,0,0,0
2012,VEN,M,0,0,0,0,0
2016,AUS,F,0,0,0,0,0
2016,AUS,M,3,0,0,3,0
2016,AUT,F,0,0,0,0,0
2016,AZE,F,0,0,0,0,0
2016,BAN,F,0,0,0,0,0
2016,BEL,M,0,0,0,0,0
2016,BHU,F,0,0,0,0,0
2016,BLR,M,0,0,0,0,0
2016,BRA,F,0,0,0,0,0
2016,BRA,M,0,0,0,0,0
2016,CAN,F,0,0,0,0,0
2016,CAN,M,0,0,0,0,0
2016,CHI,M,0,0,0,0,0
2016,CHN,F,0,0,0,0,0
2016,CHN,M,0,0,0,0,0
2016,CIV,M,0,0,0,0,0
2016,COL,F,0,0,0,0,0
2016,COL,M,0,0,0,0,0
2016,CUB,M,0,0,0,0,0
2016,DOM,F,0,0,0,0,0
2016,EGY,F,0,0,0,0,0
2016,EGY,M,0,0,0,0,0
2016,ESP,F,0,0,0,0,0
2016,ESP,M,0,0,0,0,0
2016,EST,F,0,0,0,0,0
2016,FIJ,M,0,0,0,0,0
2016,FIN,F,0,0,0,0,0
2016,FIN,M,0,0,0,0,0
2016,FRA,M,1,0,1,0,0
2016,GBR,F,0,0,0,0,0
2016,GBR,M,0,0,0,0,0
2016,GEO,F,0,0,0,0,0
2016,GER,F,1,0,1,0,0
2016,GER,M,0,0,0,0,0
2016,GRE,F,0,0,0,0,0
2016,INA,F,0,0,0,0,0
2016,INA,M,0,0,0,0,0
2016,IND,F,0,0,0,0,0
2016,IND,M,0,0,0,0,0
2016,IRI,F,0,0,0,0,0
2016,ITA,F,0,0,0,0,0
2016,ITA,M,0,0,0,0,0
2016,JPN,F,0,0,0,0,0
2016,JPN,M,0,0,0,0,0
2016,KAZ,F,0,0,0,0,0
2016,KAZ,M,0,0,0,0,0
2016,KEN,F,0,0,0,0,0
2016,KOR,F,5,4,0,1,0
2016,KOR,M,4,4,0,0,0
2016,LBA,M,0,0,0,0,0
2016,MAS,M,0,0,0,0,0
2016,MAW,M,0,0,0,0,0
2016,MDA,F,0,0,0,0,0
2016,MEX,F,0,0,0,0,0
2016,MEX,M,0,0,0,0,0
2016,MGL,M,0,0,0,0,0
2016,MYA,F,0,0,0,0,0
2016,NED,M,0,0,0,0,0
2016,NEP,M,0,0,0,0,0
2016,NOR,M,0,0,0,0,0
2016,POL,F,0,0,0,0,0
2016,PRK,F,0,0,0,0,0
2016,RUS,F,3,0,3,0,0
2016,SVK,F,0,0,0,0,0
2016,SVK,M,0,0,0,0,0
2016,SWE,F,0,0,0,0,0
2016,TGA,F,0,0,0,0,0
2016,TGA,M,0,0,0,0,0
2016,THA,M,0,0,0,0,0
2016,TPE,F,3,0,0,3,0
2016,TPE,M,0,0,0,0,0
2016,TUR,F,0,0,0,0,0
2016,TUR,M,0,0,0,0,0
2016,UKR,F,0,0,0,0,0
2016,UKR,M,0,0,0,0,0
2016,USA,F,0,0,0,0,0
