index,Year,Total,Gold,Silver,Bronze,No medal,Sport,NOC,Sex
3,2016,0,0,0,0,1,Archery,CUB,M
4,2024,0,0,0,0,1,Archery,CUB,M
0,2008,0,0,0,0,1,Archery,CYP,F
0,1992,0,0,0,0,1,Archery,CYP,M
0,2008,0,0,0,0,1,Archery,CZE,F
1,2020,0,0,0,0,1,Archery,CZE,F
2,2024,0,0,0,0,2,Archery,CZE,F
0,2008,0,0,0,0,1,Archery,CZE,M
1,2024,0,0,0,0,2,Archery,CZE,M
0,1972,0,0,0,0,2,Archery,DEN,F
1,2000,0,0,0,0,1,Archery,DEN,F
2,2008,0,0,0,0,1,Archery,DEN,F
3,2012,0,0,0,0,6,Archery,DEN,F
4,2020,0,0,0,0,1,Archery,DEN,F
5,2024,0,0,0,0,1,Archery,DEN,F
0,1972,0,0,0,0,2,Archery,DEN,M
1,1976,0,0,0,0,1,Archery,DEN,M
2,1988,0,0,0,0,6,Archery,DEN,M
3,1992,0,0,0,0,6,Archery,DEN,M
4,2004,0,0,0,0,1,Archery,DEN,M
5,2008,0,0,0,0,1,Archery,DEN,M
0,2016,0,0,0,0,1,Archery,DOM,F
0,2020,0,0,0,0,1,Archery,ECU,F
0,2004,0,0,0,0,2,Archery,EGY,F
1,2008,0,0,0,0,1,Archery,EGY,F
2,2012,0,0,0,0,1,Archery,EGY,F
3,2016,0,0,0,0,1,Archery,EGY,F
4,2020,0,0,0,0,2,Archery,EGY,F
5,2024,0,0,0,0,2,Archery,EGY,F
0,2000,0,0,0,0,1,Archery,EGY,M
1,2004,0,0,0,0,2,Archery,EGY,M
2,2008,0,0,0,0,1,Archery,EGY,M
3,2012,0,0,0,0,1,Archery,EGY,M
4,2016,0,0,0,0,1,Archery,EGY,M
5,2020,0,0,0,0,2,Archery,EGY,M
6,2024,0,0,0,0,2,Archery,EGY,M
0,2000,0,0,0,0,1,Archery,ESA,M
1,2004,0,0,0,0,1,Archery,ESA,M
2,2024,0,0,0,0,1,Archery,ESA,M
0,1972,0,0,0,0,1,Archery,ESP,F
1,1984,0,0,0,0,2,Archery,ESP,F
2,1988,0,0,0,0,1,Archery,ESP,F
3,1992,0,0,0,0,1,Archery,ESP,F
4,2000,0,0,0,0,1,Archery,ESP,F
5,2004,0,0,0,0,1,Archery,ESP,F
6,2012,0,0,0,0,1,Archery,ESP,F
7,2016,0,0,0,0,1,Archery,ESP,F
8,2020,0,0,0,0,2,Archery,ESP,F
9,2024,0,0,0,0,2,Archery,ESP,F
0,1972,0,0,0,0,1,Archery,ESP,M
1,1980,0,0,0,0,2,Archery,ESP,M
2,1984,0,0,0,0,2,Archery,ESP,M
3,1988,0,0,0,0,6,Archery,ESP,M
4,1992,3,3,0,0,3,Archery,ESP,M
5,1996,0,0,0,0,1,Archery,ESP,M
6,2004,0,0,0,0,1,Archery,ESP,M
7,2008,0,0,0,0,1,Archery,ESP,M
8,2012,0,0,0,0,1,Archery,ESP,M
9,2016,0,0,0,0,6,Archery,ESP,M
10,2020,0,0,0,0,2,Archery,ESP,M
11,2024,0,0,0,0,2,Archery,ESP,M
0,2012,0,0,0,0,1,Archery,EST,F
1,2016,0,0,0,0,1,Archery,EST,F
2,2020,0,0,0,0,1,Archery,EST,F
3,2024,0,0,0,0,1,Archery,EST,F
0,1992,0,0,0,0,1,Archery,EST,M
1,1996,0,0,0,0,1,Archery,EST,M
0,1992,4,0,0,4,2,Archery,EUN,F
0,1992,0,0,0,0,6,Archery,EUN,M
0,2004,0,0,0,0,1,Archery,FIJ,M
1,2012,0,0,0,0,1,Archery,FIJ,M
2,2016,0,0,0,0,1,Archery,FIJ,M
0,1980,1,0,0,1,1,Archery,FIN,F
1,1984,0,0,0,0,2,Archery,FIN,F
2,1988,0,0,0,0,6,Archery,FIN,F
3,2000,0,0,0,0,1,Archery,FIN,F
4,2004,0,0,0,0,1,Archery,FIN,F
5,2016,0,0,0,0,1,Archery,FIN,F
0,1972,1,0,0,1,2,Archery,FIN,M
1,1976,0,0,0,0,2,Archery,FIN,M
2,1980,1,1,0,0,1,Archery,FIN,M
3,1984,0,0,0,0,3,Archery,FIN,M
4,1988,0,0,0,0,6,Archery,FIN,M
5,1992,3,0,3,0,3,Archery,FIN,M
6,1996,0,0,0,0,6,Archery,FIN,M
7,2000,0,0,0,0,2,Archery,FIN,M
8,2008,0,0,0,0,1,Archery,FIN,M
9,2016,0,0,0,0,1,Archery,FIN,M
10,2020,0,0,0,0,1,Archery,FIN,M
11,2024,0,0,0,0,1,Archery,FIN,M
0,1972,0,0,0,0,2,Archery,FRA,F
1,1976,0,0,0,0,1,Archery,FRA,F
2,1988,0,0,0,0,6,Archery,FRA,F
3,1992,0,0,0,0,6,Archery,FRA,F
4,1996,0,0,0,0,1,Archery,FRA,F
5,2000,0,0,0,0,2,Archery,FRA,F
6,2004,0,0,0,0,6,Archery,FRA,F
7,2008,3,0,0,3,3,Archery,FRA,F
8,2012,0,0,0,0,1,Archery,FRA,F
9,2020,0,0,0,0,2,Archery,FRA,F
10,2024,1,0,0,1,6,Archery,FRA,F
0,1900,13,4,5,4,5,Archery,FRA,M
1,1908,3,1,1,1,22,Archery,FRA,M
2,1920,27,1,18,8,0,Archery,FRA,M
3,1972,0,0,0,0,3,Archery,FRA,M
4,1976,0,0,0,0,1,Archery,FRA,M
5,1984,0,0,0,0,2,Archery,FRA,M
6,1988,0,0,0,0,6,Archery,FRA,M
7,1992,1,1,0,0,5,Archery,FRA,M
8,1996,0,0,0,0,6,Archery,FRA,M
9,2000,0,0,0,0,6,Archery,FRA,M
10,2004,0,0,0,0,6,Archery,FRA,M
11,2008,0,0,0,0,2,Archery,FRA,M
12,2012,0,0,0,0,6,Archery,FRA,M
13,2016,1,0,1,0,5,Archery,FRA,M
14,2020,0,0,0,0,7,Archery,FRA,M
15,2024,3,0,3,0,4,Archery,FRA,M
0,1972,0,0,0,0,2,Archery,FRG,F
1,1976,0,0,0,0,1,Archery,FRG,F
2,1984,0,0,0,0,2,Archery,FRG,F
3,1988,0,0,0,0,6,Archery,FRG,F
0,1972,0,0,0,0,2,Archery,FRG,M
1,1976,0,0,0,0,2,Archery,FRG,M
2,1984,0,0,0,0,3,Archery,FRG,M
3,1988,0,0,0,0,6,Archery,FRG,M
0,1908,3,1,1,1,22,Archery,GBR,F
1,1972,0,0,0,0,3,Archery,GBR,F
2,1976,0,0,0,0,2,Archery,GBR,F
3,1980,0,0,0,0,2,Archery,GBR,F
4,1984,0,0,0,0,3,Archery,GBR,F
5,1988,0,0,0,0,6,Archery,GBR,F
6,1992,0,0,0,0,6,Archery,GBR,F
7,1996,0,0,0,0,1,Archery,GBR,F
8,2000,0,0,0,0,2,Archery,GBR,F
9,2004,1,0,0,1,5,Archery,GBR,F
10,2008,0,0,0,0,6,Archery,GBR,F
11,2012,0,0,0,0,6,Archery,GBR,F
12,2016,0,0,0,0,1,Archery,GBR,F
13,2020,0,0,0,0,7,Archery,GBR,F
14,2024,0,0,0,0,7,Archery,GBR,F
0,1908,2,1,1,0,23,Archery,GBR,M
1,1972,0,0,0,0,3,Archery,GBR,M
2,1976,0,0,0,0,2,Archery,GBR,M
3,1980,0,0,0,0,2,Archery,GBR,M
4,1984,0,0,0,0,3,Archery,GBR,M
5,1988,3,0,0,3,3,Archery,GBR,M
6,1992,4,0,0,4,2,Archery,GBR,M
7,1996,0,0,0,0,2,Archery,GBR,M
8,2000,0,0,0,0,1,Archery,GBR,M
9,2004,0,0,0,0,1,Archery,GBR,M
10,2008,0,0,0,0,6,Archery,GBR,M
11,2012,0,0,0,0,6,Archery,GBR,M
12,2016,0,0,0,0,1,Archery,GBR,M
13,2020,0,0,0,0,7,Archery,GBR,M
14,2024,0,0,0,0,7,Archery,GBR,M
0,1996,0,0,0,0,1,Archery,GEO,F
1,2000,0,0,0,0,6,Archery,GEO,F
2,2004,0,0,0,0,2,Archery,GEO,F
3,2008,0,0,0,0,2,Archery,GEO,F
4,2012,0,0,0,0,1,Archery,GEO,F
5,2016,0,0,0,0,6,Archery,GEO,F
0,1992,0,0,0,0,6,Archery,GER,F
1,1996,3,0,3,0,3,Archery,GER,F
2,2000,3,0,0,3,3,Archery,GER,F
3,2004,0,0,0,0,6,Archery,GER,F
4,2008,0,0,0,0,1,Archery,GER,F
5,2012,0,0,0,0,1,Archery,GER,F
6,2016,1,0,1,0,0,Archery,GER,F
7,2020,3,0,0,3,4,Archery,GER,F
8,2024,1,0,1,0,6,Archery,GER,F
0,1992,0,0,0,0,6,Archery,GER,M
1,2000,0,0,0,0,1,Archery,GER,M
2,2004,0,0,0,0,1,Archery,GER,M
3,2008,0,0,0,0,1,Archery,GER,M
4,2012,0,0,0,0,1,Archery,GER,M
5,2016,0,0,0,0,1,Archery,GER,M
6,2020,0,0,0,0,2,Archery,GER,M
7,2024,1,0,1,0,1,Archery,GER,M
0,2000,0,0,0,0,1,Archery,GRE,F
1,2004,0,0,0,0,6,Archery,GRE,F
2,2008,0,0,0,0,2,Archery,GRE,F
3,2012,0,0,0,0,1,Archery,GRE,F
4,2016,0,0,0,0,1,Archery,GRE,F
5,2020,0,0,0,0,1,Archery,GRE,F
0,2004,0,0,0,0,6,Archery,GRE,M
0,2024,0,0,0,0,1,Archery,GUI,F
0,1992,0,0,0,0,1,Archery,GUM,M
0,1984,0,0,0,0,3,Archery,HKG,F
1,1988,0,0,0,0,1,Archery,HKG,F
0,1984,0,0,0,0,3,Archery,HKG,M
1,1988,0,0,0,0,2,Archery,HKG,M
2,1992,0,0,0,0,1,Archery,HKG,M
3,2012,0,0,0,0,1,Archery,HKG,M
0,1972,0,0,0,0,1,Archery,HUN,F
1,1980,0,0,0,0,2,Archery,HUN,F
2,1992,0,0,0,0,6,Archery,HUN,F
3,1996,0,0,0,0,2,Archery,HUN,F
0,1972,0,0,0,0,1,Archery,HUN,M
1,1980,0,0,0,0,2,Archery,HUN,M
2,2020,0,0,0,0,1,Archery,HUN,M
0,1972,0,0,0,0,1,Archery,INA,F
1,1976,0,0,0,0,1,Archery,INA,F
2,1988,3,0,3,0,3,Archery,INA,F
3,1992,0,0,0,0,6,Archery,INA,F
4,1996,0,0,0,0,6,Archery,INA,F
5,2000,0,0,0,0,1,Archery,INA,F
6,2004,0,0,0,0,1,Archery,INA,F
7,2008,0,0,0,0,2,Archery,INA,F
8,2012,0,0,0,0,1,Archery,INA,F
9,2016,0,0,0,0,1,Archery,INA,F
10,2020,0,0,0,0,2,Archery,INA,F
11,2024,0,0,0,0,7,Archery,INA,F
0,1976,0,0,0,0,1,Archery,INA,M
1,1984,0,0,0,0,2,Archery,INA,M
2,1988,0,0,0,0,1,Archery,INA,M
3,1992,0,0,0,0,1,Archery,INA,M
4,2004,0,0,0,0,1,Archery,INA,M
5,2016,0,0,0,0,6,Archery,INA,M
6,2020,0,0,0,0,7,Archery,INA,M
7,2024,0,0,0,0,2,Archery,INA,M
0,2004,0,0,0,0,6,Archery,IND,F
1,2008,0,0,0,0,6,Archery,IND,F
2,2012,0,0,0,0,6,Archery,IND,F
3,2016,0,0,0,0,6,Archery,IND,F
4,2020,0,0,0,0,2,Archery,IND,F
5,2024,0,0,0,0,7,Archery,IND,F
0,1988,0,0,0,0,6,Archery,IND,M
1,1992,0,0,0,0,6,Archery,IND,M
2,1996,0,0,0,0,6,Archery,IND,M
3,2004,0,0,0,0,6,Archery,IND,M
4,2008,0,0,0,0,1,Archery,IND,M
5,2012,0,0,0,0,6,Archery,IND,M
6,2016,0,0,0,0,1,Archery,IND,M
7,2020,0,0,0,0,7,Archery,IND,M
8,2024,0,0,0,0,7,Archery,IND,M
0,2008,0,0,0,0,1,Archery,IRI,F
1,2012,0,0,0,0,1,Archery,IRI,F
2,2016,0,0,0,0,1,Archery,IRI,F
3,2024,0,0,0,0,1,Archery,IRI,F
0,2008,0,0,0,0,1,Archery,IRI,M
1,2012,0,0,0,0,1,Archery,IRI,M
2,2020,0,0,0,0,1,Archery,IRI,M
0,1980,0,0,0,0,1,Archery,IRL,F
1,1984,0,0,0,0,2,Archery,IRL,F
2,1988,0,0,0,0,1,Archery,IRL,F
0,1976,0,0,0,0,1,Archery,IRL,M
1,1980,0,0,0,0,2,Archery,IRL,M
2,1988,0,0,0,0,2,Archery,IRL,M
3,1992,0,0,0,0,1,Archery,IRL,M
4,1996,0,0,0,0,1,Archery,IRL,M
0,2012,0,0,0,0,1,Archery,IRQ,F
0,2024,0,0,0,0,2,Archery,ISR,F
0,2020,0,0,0,0,1,Archery,ISR,M
1,2024,0,0,0,0,2,Archery,ISR,M
0,2020,0,0,0,0,1,Archery,ISV,M
1,2024,0,0,0,0,1,Archery,ISV,M
0,1976,0,0,0,0,2,Archery,ITA,F
1,1980,0,0,0,0,1,Archery,ITA,F
2,1984,0,0,0,0,1,Archery,ITA,F
3,1992,0,0,0,0,1,Archery,ITA,F
4,1996,0,0,0,0,6,Archery,ITA,F
5,2000,0,0,0,0,6,Archery,ITA,F
6,2004,0,0,0,0,1,Archery,ITA,F
7,2008,0,0,0,0,6,Archery,ITA,F
8,2012,0,0,0,0,6,Archery,ITA,F
9,2016,0,0,0,0,6,Archery,ITA,F
10,2020,1,0,0,1,6,Archery,ITA,F
11,2024,0,0,0,0,2,Archery,ITA,F
0,1972,0,0,0,0,3,Archery,ITA,M
1,1976,1,0,0,1,1,Archery,ITA,M
2,1980,1,0,0,1,1,Archery,ITA,M
3,1984,0,0,0,0,2,Archery,ITA,M
4,1988,0,0,0,0,6,Archery,ITA,M
5,1992,0,0,0,0,6,Archery,ITA,M
6,1996,3,0,0,3,3,Archery,ITA,M
7,2000,3,0,3,0,3,Archery,ITA,M
8,2004,1,1,0,0,5,Archery,ITA,M
9,2008,3,0,3,0,3,Archery,ITA,M
10,2012,3,3,0,0,3,Archery,ITA,M
11,2016,0,0,0,0,6,Archery,ITA,M
12,2020,1,0,1,0,1,Archery,ITA,M
13,2024,0,0,0,0,7,Archery,ITA,M
0,1988,0,0,0,0,1,Archery,JOR,F
0,1972,0,0,0,0,1,Archery,JPN,F
1,1976,0,0,0,0,2,Archery,JPN,F
2,1984,0,0,0,0,2,Archery,JPN,F
3,1988,0,0,0,0,6,Archery,JPN,F
4,1992,0,0,0,0,6,Archery,JPN,F
5,1996,0,0,0,0,6,Archery,JPN,F
6,2000,0,0,0,0,2,Archery,JPN,F
7,2004,0,0,0,0,6,Archery,JPN,F
8,2008,0,0,0,0,6,Archery,JPN,F
9,2012,3,0,0,3,3,Archery,JPN,F
10,2016,0,0,0,0,6,Archery,JPN,F
11,2020,0,0,0,0,7,Archery,JPN,F
12,2024,0,0,0,0,2,Archery,JPN,F
0,1972,0,0,0,0,3,Archery,JPN,M
1,1976,1,0,1,0,1,Archery,JPN,M
2,1984,1,0,0,1,2,Archery,JPN,M
3,1988,0,0,0,0,6,Archery,JPN,M
4,1992,0,0,0,0,6,Archery,JPN,M
5,1996,0,0,0,0,2,Archery,JPN,M
6,2000,0,0,0,0,6,Archery,JPN,M
7,2004,1,0,1,0,5,Archery,JPN,M
8,2008,0,0,0,0,2,Archery,JPN,M
9,2012,1,0,1,0,5,Archery,JPN,M
10,2016,0,0,0,0,1,Archery,JPN,M
11,2020,4,0,0,4,3,Archery,JPN,M
12,2024,0,0,0,0,7,Archery,JPN,M
0,1996,0,0,0,0,6,Archery,KAZ,F
1,2000,0,0,0,0,1,Archery,KAZ,F
2,2004,0,0,0,0,2,Archery,KAZ,F
3,2008,0,0,0,0,1,Archery,KAZ,F
4,2012,0,0,0,0,1,Archery,KAZ,F
5,2016,0,0,0,0,1,Archery,KAZ,F
0,1996,0,0,0,0,6,Archery,KAZ,M
1,2000,0,0,0,0,6,Archery,KAZ,M
2,2004,0,0,0,0,1,Archery,KAZ,M
3,2012,0,0,0,0,1,Archery,KAZ,M
4,2016,0,0,0,0,1,Archery,KAZ,M
5,2020,0,0,0,0,6,Archery,KAZ,M
6,2024,0,0,0,0,6,Archery,KAZ,M
0,1996,0,0,0,0,1,Archery,KEN,F
1,2016,0,0,0,0,1,Archery,KEN,F
0,1996,0,0,0,0,1,Archery,KEN,M
1,2000,0,0,0,0,1,Archery,KEN,M
0,1984,2,1,0,1,1,Archery,KOR,F
1,1988,6,4,1,1,0,Archery,KOR,F
2,1992,5,4,1,0,1,Archery,KOR,F
3,1996,4,4,0,0,2,Archery,KOR,F
4,2000,6,4,1,1,0,Archery,KOR,F
5,2004,5,4,1,0,1,Archery,KOR,F
6,2008,5,3,1,1,1,Archery,KOR,F
7,2012,4,4,0,0,2,Archery,KOR,F
8,2016,5,4,0,1,1,Archery,KOR,F
9,2020,5,5,0,0,2,Archery,KOR,F
10,2024,6,5,1,0,1,Archery,KOR,F
0,1984,0,0,0,0,3,Archery,KOR,M
1,1988,4,3,1,0,2,Archery,KOR,M
2,1992,1,0,1,0,5,Archery,KOR,M
3,1996,4,0,3,1,2,Archery,KOR,M
4,2000,3,3,0,0,3,Archery,KOR,M
5,2004,3,3,0,0,3,Archery,KOR,M
6,2008,4,3,1,0,2,Archery,KOR,M
7,2012,4,1,0,3,2,Archery,KOR,M
8,2016,4,4,0,0,2,Archery,KOR,M
9,2020,4,4,0,0,3,Archery,KOR,M
10,2024,6,5,0,1,1,Archery,KOR,M
0,1984,0,0,0,0,3,Archery,KSA,M
1,1988,0,0,0,0,2,Archery,KSA,M
0,2004,0,0,0,0,1,Archery,LAO,M
0,2016,0,0,0,0,1,Archery,LBA,M
0,1972,0,0,0,0,1,Archery,LUX,F
1,1984,0,0,0,0,1,Archery,LUX,F
2,1988,0,0,0,0,1,Archery,LUX,F
3,1992,0,0,0,0,1,Archery,LUX,F
0,1972,0,0,0,0,1,Archery,LUX,M
1,1980,0,0,0,0,1,Archery,LUX,M
2,1984,0,0,0,0,2,Archery,LUX,M
3,2004,0,0,0,0,1,Archery,LUX,M
4,2012,0,0,0,0,1,Archery,LUX,M
5,2020,0,0,0,0,1,Archery,LUX,M
6,2024,0,0,0,0,1,Archery,LUX,M
0,2008,0,0,0,0,1,Archery,MAR,F
0,2004,0,0,0,0,1,Archery,MAS,F
1,2012,0,0,0,0,1,Archery,MAS,F
2,2020,0,0,0,0,2,Archery,MAS,F
3,2024,0,0,0,0,6,Archery,MAS,F
0,2008,0,0,0,0,6,Archery,MAS,M
1,2012,0,0,0,0,6,Archery,MAS,M
2,2016,0,0,0,0,6,Archery,MAS,M
3,2020,0,0,0,0,2,Archery,MAS,M
0,2016,0,0,0,0,1,Archery,MAW,M
1,2020,0,0,0,0,1,Archery,MAW,M
0,1996,0,0,0,0,2,Archery,MDA,F
1,2016,0,0,0,0,1,Archery,MDA,F
2,2020,0,0,0,0,2,Archery,MDA,F
3,2024,0,0,0,0,2,Archery,MDA,F
0,2012,0,0,0,0,1,Archery,MDA,M
1,2020,0,0,0,0,2,Archery,MDA,M
2,2024,0,0,0,0,2,Archery,MDA,M
0,1972,0,0,0,0,3,Archery,MEX,F
1,1984,0,0,0,0,1,Archery,MEX,F
2,1988,0,0,0,0,1,Archery,MEX,F
3,1992,0,0,0,0,1,Archery,MEX,F
4,1996,0,0,0,0,1,Archery,MEX,F
