,Year,NOC,Num_Athletes,Female_Ratio,Num_Sports,Num_Events,Rank,Gold,Silver,Bronze,Total,Total_Events,Total_Discipline,Total_Sports,Is_Host
44,1904,Austria,2,1.0,2,7,8.0,1.0,1.0,1.0,3.0,95,18,16,0
45,1904,Canada,55,1.0,6,15,3.0,4.0,1.0,1.0,6.0,95,18,16,0
46,1904,Cuba,3,1.0,2,5,4.0,3.0,0.0,0.0,3.0,95,18,16,0
47,1904,France,1,1.0,1,2,13.0,0.0,1.0,0.0,1.0,95,18,16,0
48,1904,Germany,22,1.0,9,25,2.0,4.0,5.0,6.0,15.0,95,18,16,0
49,1904,Great Britain,6,1.0,3,4,9.0,1.0,1.0,0.0,2.0,95,18,16,0
50,1904,Greece,14,1.0,3,5,11.0,1.0,0.0,1.0,2.0,95,18,16,0
51,1904,Hungary,4,1.0,2,9,5.0,2.0,1.0,1.0,4.0,95,18,16,0
52,1904,Italy,1,1.0,1,1,0.0,0.0,0.0,0.0,0.0,95,18,16,0
53,1904,NFL,1,1.0,1,1,0.0,0.0,0.0,0.0,0.0,95,18,16,0
54,1904,Norway,3,1.0,2,6,7.0,2.0,0.0,0.0,2.0,95,18,16,0
55,1904,South Africa,8,1.0,2,2,0.0,0.0,0.0,0.0,0.0,95,18,16,0
56,1904,Switzerland,3,1.0,2,4,10.0,1.0,0.0,2.0,3.0,95,18,16,0
57,1904,United States,518,0.9855725879170424,18,95,1.0,76.0,78.0,77.0,231.0,95,18,16,1
58,1906,Australia,4,1.0,2,9,0.0,0.0,0.0,0.0,0.0,76,13,11,0
59,1906,Austria,31,1.0,9,46,0.0,0.0,0.0,0.0,0.0,76,13,11,0
60,1906,Belgium,16,1.0,7,22,0.0,0.0,0.0,0.0,0.0,76,13,11,0
61,1906,CRT,8,1.0,2,5,0.0,0.0,0.0,0.0,0.0,76,13,11,0
62,1906,Canada,3,1.0,1,4,0.0,0.0,0.0,0.0,0.0,76,13,11,0
63,1906,Czech Republic,13,1.0,6,22,0.0,0.0,0.0,0.0,0.0,76,13,11,0
64,1906,Denmark,49,1.0,8,24,0.0,0.0,0.0,0.0,0.0,76,13,11,0
65,1906,Egypt,2,1.0,3,5,0.0,0.0,0.0,0.0,0.0,76,13,11,0
66,1906,Finland,4,1.0,2,11,0.0,0.0,0.0,0.0,0.0,76,13,11,0
67,1906,France,56,0.9885057471264368,11,51,0.0,0.0,0.0,0.0,0.0,76,13,11,0
68,1906,Germany,49,1.0,9,41,0.0,0.0,0.0,0.0,0.0,76,13,11,0
69,1906,Great Britain,48,1.0,9,42,0.0,0.0,0.0,0.0,0.0,76,13,11,0
70,1906,Greece,312,0.981404958677686,13,70,0.0,0.0,0.0,0.0,0.0,76,13,11,0
71,1906,Hungary,35,1.0,7,41,0.0,0.0,0.0,0.0,0.0,76,13,11,0
72,1906,Italy,76,1.0,9,37,0.0,0.0,0.0,0.0,0.0,76,13,11,0
73,1906,Netherlands,16,1.0,2,8,0.0,0.0,0.0,0.0,0.0,76,13,11,0
74,1906,Norway,32,1.0,3,12,0.0,0.0,0.0,0.0,0.0,76,13,11,0
75,1906,Sweden,38,1.0,8,37,0.0,0.0,0.0,0.0,0.0,76,13,11,0
76,1906,Switzerland,9,1.0,3,14,0.0,0.0,0.0,0.0,0.0,76,13,11,0
77,1906,Turkey,1,1.0,1,2,0.0,0.0,0.0,0.0,0.0,76,13,11,0
78,1906,United States,38,1.0,5,28,0.0,0.0,0.0,0.0,0.0,76,13,11,0
79,1908,Argentina,1,1.0,1,1,0.0,0.0,0.0,0.0,0.0,110,25,22,0
80,1908,Australia,30,1.0,6,20,0.0,0.0,0.0,0.0,0.0,110,25,22,0
81,1908,Austria,7,1.0,4,10,19.0,0.0,0.0,1.0,1.0,110,25,22,0
82,1908,Belgium,70,1.0,11,33,10.0,1.0,5.0,2.0,8.0,110,25,22,0
83,1908,Canada,87,1.0,11,42,7.0,3.0,3.0,10.0,16.0,110,25,22,0
84,1908,Czech Republic,19,1.0,5,15,17.0,0.0,0.0,2.0,2.0,110,25,22,0
85,1908,Denmark,78,1.0,8,27,16.0,0.0,2.0,3.0,5.0,110,25,22,0
86,1908,Finland,62,1.0,6,23,13.0,1.0,1.0,3.0,5.0,110,25,22,0
87,1908,France,208,1.0,13,54,4.0,5.0,5.0,9.0,19.0,110,25,22,0
88,1908,Germany,82,0.9864864864864865,12,41,5.0,3.0,5.0,5.0,13.0,110,25,22,0
89,1908,Great Britain,732,0.9567901234567902,24,108,1.0,56.0,51.0,39.0,146.0,110,25,22,0
90,1908,Greece,20,1.0,3,25,15.0,0.0,3.0,1.0,4.0,110,25,22,0
91,1908,Hungary,65,1.0,8,37,6.0,3.0,4.0,2.0,9.0,110,25,22,0
92,1908,Iceland,1,1.0,1,1,0.0,0.0,0.0,0.0,0.0,110,25,22,0
93,1908,Italy,66,1.0,8,30,9.0,2.0,2.0,0.0,4.0,110,25,22,0
94,1908,Netherlands,113,1.0,11,45,17.0,0.0,0.0,2.0,2.0,110,25,22,0
95,1908,Norway,69,1.0,7,23,8.0,2.0,3.0,3.0,8.0,110,25,22,0
96,1908,Russia,6,1.0,3,7,12.0,1.0,2.0,0.0,3.0,110,25,22,0
97,1908,South Africa,14,1.0,4,15,14.0,1.0,1.0,0.0,2.0,110,25,22,0
98,1908,Sweden,164,0.9891304347826086,14,67,3.0,8.0,6.0,11.0,25.0,110,25,22,0
99,1908,Switzerland,1,1.0,1,1,0.0,0.0,0.0,0.0,0.0,110,25,22,0
100,1908,United States,119,1.0,10,52,2.0,23.0,12.0,12.0,47.0,110,25,22,0
101,1912,Australia,25,0.9473684210526315,4,17,0.0,0.0,0.0,0.0,0.0,102,18,14,0
102,1912,Austria,85,0.9242424242424242,12,46,17.0,0.0,2.0,2.0,4.0,102,18,14,0
103,1912,Belgium,36,0.9861111111111112,9,23,13.0,2.0,1.0,3.0,6.0,102,18,14,0
104,1912,Canada,37,1.0,7,30,9.0,3.0,2.0,3.0,8.0,102,18,14,0
105,1912,Chile,14,1.0,4,16,0.0,0.0,0.0,0.0,0.0,102,18,14,0
106,1912,Czech Republic,43,1.0,8,26,0.0,0.0,0.0,0.0,0.0,102,18,14,0
107,1912,Denmark,147,0.9914163090128756,13,46,14.0,1.0,6.0,5.0,12.0,102,18,14,0
108,1912,Finland,164,0.9914163090128756,10,49,4.0,9.0,8.0,9.0,26.0,102,18,14,0
109,1912,France,119,0.9913793103448276,13,66,5.0,7.0,4.0,3.0,14.0,102,18,14,0
110,1912,Germany,185,0.967948717948718,14,69,6.0,5.0,13.0,7.0,25.0,102,18,14,0
111,1912,Great Britain,273,0.9631236442516269,16,79,3.0,10.0,15.0,16.0,41.0,102,18,14,0
112,1912,Greece,22,1.0,5,25,15.0,1.0,0.0,1.0,2.0,102,18,14,0
113,1912,Hungary,121,1.0,11,52,9.0,3.0,2.0,3.0,8.0,102,18,14,0
114,1912,Iceland,2,1.0,2,2,0.0,0.0,0.0,0.0,0.0,102,18,14,0
115,1912,Italy,66,1.0,8,36,11.0,3.0,1.0,2.0,6.0,102,18,14,0
116,1912,Japan,2,1.0,1,4,0.0,0.0,0.0,0.0,0.0,102,18,14,0
117,1912,Luxembourg,21,1.0,2,6,0.0,0.0,0.0,0.0,0.0,102,18,14,0
118,1912,Netherlands,33,1.0,7,14,18.0,0.0,0.0,3.0,3.0,102,18,14,0
119,1912,Norway,190,0.9885931558935361,14,58,8.0,3.0,2.0,5.0,10.0,102,18,14,0
120,1912,Poland,1,1.0,1,1,0.0,0.0,0.0,0.0,0.0,102,18,14,0
121,1912,Portugal,6,1.0,3,8,0.0,0.0,0.0,0.0,0.0,102,18,14,0
122,1912,Russia,159,1.0,15,62,16.0,0.0,2.0,3.0,5.0,102,18,14,0
123,1912,Serbia,2,1.0,1,2,0.0,0.0,0.0,0.0,0.0,102,18,14,0
124,1912,South Africa,21,1.0,6,21,7.0,4.0,2.0,0.0,6.0,102,18,14,0
125,1912,Sweden,434,0.9467787114845938,16,95,2.0,23.0,25.0,17.0,65.0,102,18,14,1
126,1912,Switzerland,7,1.0,2,3,0.0,0.0,0.0,0.0,0.0,102,18,14,0
127,1912,Turkey,2,1.0,1,7,0.0,0.0,0.0,0.0,0.0,102,18,14,0
128,1912,UNK,2,1.0,1,1,0.0,0.0,0.0,0.0,0.0,102,18,14,0
129,1912,United States,172,1.0,11,68,1.0,26.0,19.0,19.0,64.0,102,18,14,0
130,1920,Argentina,1,1.0,1,1,0.0,0.0,0.0,0.0,0.0,156,29,22,0
131,1920,Australia,13,0.896551724137931,5,19,16.0,0.0,2.0,1.0,3.0,156,29,22,0
132,1920,Belgium,336,0.9652509652509652,23,121,5.0,14.0,11.0,11.0,36.0,156,29,22,1
133,1920,Brazil,19,1.0,5,10,15.0,1.0,1.0,1.0,3.0,156,29,22,0
134,1920,Canada,52,1.0,9,39,12.0,3.0,3.0,3.0,9.0,156,29,22,0
135,1920,Chile,2,1.0,1,2,0.0,0.0,0.0,0.0,0.0,156,29,22,0
136,1920,Czech Republic,119,0.9945054945054945,13,53,21.0,0.0,0.0,2.0,2.0,156,29,22,0
137,1920,Denmark,151,0.9715447154471545,14,66,10.0,3.0,9.0,1.0,13.0,156,29,22,0
138,1920,Egypt,18,1.0,6,11,0.0,0.0,0.0,0.0,0.0,156,29,22,0
139,1920,Estonia,14,1.0,3,19,14.0,1.0,2.0,0.0,3.0,156,29,22,0
140,1920,Finland,63,0.9926470588235294,9,51,3.0,15.0,10.0,9.0,34.0,156,29,22,0
141,1920,France,304,0.9668141592920354,23,113,8.0,9.0,19.0,13.0,41.0,156,29,22,0
142,1920,Great Britain,234,0.9101449275362319,21,84,4.0,14.0,15.0,13.0,42.0,156,29,22,0
143,1920,Greece,47,1.0,8,34,19.0,0.0,1.0,0.0,1.0,156,29,22,0
144,1920,India,5,1.0,2,6,0.0,0.0,0.0,0.0,0.0,156,29,22,0
145,1920,Italy,173,0.993127147766323,18,79,7.0,13.0,5.0,5.0,23.0,156,29,22,0
146,1920,Japan,15,1.0,4,15,17.0,0.0,2.0,0.0,2.0,156,29,22,0
147,1920,Luxembourg,25,1.0,6,18,19.0,0.0,1.0,0.0,1.0,156,29,22,0
148,1920,Monaco,4,1.0,2,6,0.0,0.0,0.0,0.0,0.0,156,29,22,0
149,1920,Netherlands,130,0.9953051643192489,15,58,9.0,4.0,2.0,5.0,11.0,156,29,22,0
150,1920,New Zealand,4,0.6666666666666666,3,6,22.0,0.0,0.0,1.0,1.0,156,29,22,0
151,1920,Norway,193,0.9775280898876404,16,72,6.0,13.0,9.0,9.0,31.0,156,29,22,0
152,1920,Portugal,13,1.0,2,7,0.0,0.0,0.0,0.0,0.0,156,29,22,0
153,1920,Serbia,15,1.0,1,1,0.0,0.0,0.0,0.0,0.0,156,29,22,0
154,1920,South Africa,39,0.979381443298969,7,34,11.0,3.0,4.0,3.0,10.0,156,29,22,0
155,1920,Spain,58,1.0,7,29,17.0,0.0,2.0,0.0,2.0,156,29,22,0
156,1920,Sweden,256,0.943069306930693,18,100,2.0,19.0,20.0,25.0,64.0,156,29,22,0
157,1920,Switzerland,77,1.0,13,45,13.0,2.0,2.0,7.0,11.0,156,29,22,0
158,1920,United States,285,0.9534883720930233,18,113,1.0,41.0,27.0,27.0,95.0,156,29,22,0
159,1924,Argentina,77,1.0,11,39,16.0,1.0,3.0,2.0,6.0,126,23,17,0
160,1924,Australia,36,0.9833333333333333,9,31,11.0,3.0,1.0,2.0,6.0,126,23,17,0
161,1924,Austria,49,0.9464285714285714,8,27,20.0,0.0,3.0,1.0,4.0,126,23,17,0
162,1924,Belgium,172,0.9572649572649573,17,82,10.0,3.0,7.0,3.0,13.0,126,23,17,0
163,1924,Brazil,12,1.0,4,15,0.0,0.0,0.0,0.0,0.0,126,23,17,0
164,1924,Bulgaria,24,1.0,4,12,0.0,0.0,0.0,0.0,0.0,126,23,17,0
165,1924,Canada,65,1.0,8,39,20.0,0.0,3.0,1.0,4.0,126,23,17,0
166,1924,Chile,13,1.0,5,12,0.0,0.0,0.0,0.0,0.0,126,23,17,0
167,1924,Cuba,9,1.0,2,3,0.0,0.0,0.0,0.0,0.0,126,23,17,0
168,1924,Czech Republic,133,0.9834710743801653,16,75,15.0,1.0,4.0,5.0,10.0,126,23,17,0
169,1924,Denmark,89,0.879746835443038,13,60,12.0,2.0,5.0,2.0,9.0,126,23,17,0
170,1924,Ecuador,3,1.0,1,4,0.0,0.0,0.0,0.0,0.0,126,23,17,0
171,1924,Egypt,24,1.0,9,12,0.0,0.0,0.0,0.0,0.0,126,23,17,0
172,1924,Estonia,37,1.0,5,26,17.0,1.0,1.0,4.0,6.0,126,23,17,0
173,1924,Finland,121,1.0,12,69,2.0,14.0,13.0,10.0,37.0,126,23,17,0
174,1924,France,401,0.9213836477987422,20,128,3.0,13.0,15.0,10.0,38.0,126,23,17,1
175,1924,Great Britain,267,0.9088785046728972,18,115,4.0,9.0,13.0,12.0,34.0,126,23,17,0
176,1924,Greece,39,0.9746835443037974,9,37,0.0,0.0,0.0,0.0,0.0,126,23,17,0
177,1924,Haiti,8,1.0,2,9,23.0,0.0,0.0,1.0,1.0,126,23,17,0
178,1924,Hungary,89,0.9714285714285714,12,54,13.0,2.0,3.0,4.0,9.0,126,23,17,0
179,1924,India,13,0.9166666666666666,2,13,0.0,0.0,0.0,0.0,0.0,126,23,17,0
180,1924,Ireland,48,0.9,6,29,0.0,0.0,0.0,0.0,0.0,126,23,17,0
181,1924,Italy,199,0.978978978978979,18,93,5.0,8.0,3.0,5.0,16.0,126,23,17,0
182,1924,Japan,19,1.0,4,21,23.0,0.0,0.0,1.0,1.0,126,23,17,0
183,1924,Latvia,36,1.0,6,23,0.0,0.0,0.0,0.0,0.0,126,23,17,0
184,1924,Lithuania,13,1.0,2,2,0.0,0.0,0.0,0.0,0.0,126,23,17,0
185,1924,Luxembourg,48,0.9836065573770492,10,35,0.0,0.0,0.0,0.0,0.0,126,23,17,0
186,1924,Mexico,15,1.0,3,15,0.0,0.0,0.0,0.0,0.0,126,23,17,0
187,1924,Monaco,7,1.0,4,6,0.0,0.0,0.0,0.0,0.0,126,23,17,0
188,1924,Netherlands,177,0.9390243902439024,17,81,9.0,4.0,1.0,5.0,10.0,126,23,17,0
189,1924,New Zealand,4,0.6666666666666666,3,6,23.0,0.0,0.0,1.0,1.0,126,23,17,0
190,1924,Norway,62,0.9619047619047619,10,43,7.0,5.0,2.0,3.0,10.0,126,23,17,0
191,1924,Philippines,1,1.0,1,2,0.0,0.0,0.0,0.0,0.0,126,23,17,0
192,1924,Poland,65,0.99,10,38,22.0,0.0,1.0,1.0,2.0,126,23,17,0
193,1924,Portugal,28,1.0,8,16,23.0,0.0,0.0,1.0,1.0,126,23,17,0
194,1924,Romania,35,1.0,4,7,23.0,0.0,0.0,1.0,1.0,126,23,17,0
195,1924,Russia,3,0.6666666666666666,1,2,0.0,0.0,0.0,0.0,0.0,126,23,17,0
196,1924,Serbia,42,1.0,9,27,14.0,2.0,0.0,0.0,2.0,126,23,17,0
197,1924,South Africa,30,1.0,7,25,18.0,1.0,1.0,1.0,3.0,126,23,17,0
198,1924,Spain,95,0.9602649006622517,15,44,0.0,0.0,0.0,0.0,0.0,126,23,17,0
199,1924,Sweden,157,0.8984375,15,84,8.0,4.0,13.0,12.0,29.0,126,23,17,0
200,1924,Switzerland,141,0.9809160305343512,17,74,6.0,7.0,8.0,10.0,25.0,126,23,17,0
201,1924,Turkey,22,1.0,5,11,0.0,0.0,0.0,0.0,0.0,126,23,17,0
202,1924,United States,297,0.9237472766884531,18,108,1.0,45.0,27.0,27.0,99.0,126,23,17,0
203,1924,Uruguay,26,1.0,4,11,19.0,1.0,0.0,0.0,1.0,126,23,17,0
204,1928,Argentina,81,1.0,12,40,12.0,3.0,3.0,1.0,7.0,109,20,14,0
205,1928,Australia,18,0.7586206896551724,6,26,19.0,1.0,2.0,1.0,4.0,109,20,14,0
206,1928,Austria,73,0.9469026548672567,13,39,18.0,2.0,0.0,1.0,3.0,109,20,14,0
207,1928,Belgium,187,0.9384615384615385,15,90,29.0,0.0,1.0,2.0,3.0,109,20,14,0
208,1928,Bulgaria,5,1.0,2,5,0.0,0.0,0.0,0.0,0.0,109,20,14,0
209,1928,Canada,69,0.8938053097345132,8,49,10.0,4.0,4.0,7.0,15.0,109,20,14,0
210,1928,Chile,38,1.0,6,22,30.0,0.0,1.0,0.0,1.0,109,20,14,0
211,1928,Cuba,1,1.0,1,1,0.0,0.0,0.0,0.0,0.0,109,20,14,0
212,1928,Czech Republic,69,0.9931972789115646,14,51,14.0,2.0,5.0,2.0,9.0,109,20,14,0
213,1928,Denmark,91,0.9016393442622951,14,55,13.0,3.0,1.0,2.0,6.0,109,20,14,0
214,1928,Egypt,32,1.0,5,14,17.0,2.0,1.0,1.0,4.0,109,20,14,0
215,1928,Estonia,20,1.0,5,19,16.0,2.0,1.0,2.0,5.0,109,20,14,0
216,1928,Finland,69,0.9848484848484849,11,48,3.0,8.0,8.0,9.0,25.0,109,20,14,0
217,1928,France,255,0.8720379146919431,17,112,7.0,6.0,10.0,5.0,21.0,109,20,14,0
218,1928,Germany,293,0.8897243107769424,16,95,2.0,10.0,7.0,14.0,31.0,109,20,14,0
219,1928,Great Britain,231,0.8926553672316384,14,84,11.0,3.0,10.0,7.0,20.0,109,20,14,0
220,1928,Greece,23,1.0,4,26,0.0,0.0,0.0,0.0,0.0,109,20,14,0
221,1928,Haiti,2,1.0,1,3,30.0,0.0,1.0,0.0,1.0,109,20,14,0
222,1928,Hungary,109,0.9269406392694064,12,63,9.0,4.0,5.0,0.0,9.0,109,20,14,0
223,1928,India,21,1.0,2,10,24.0,1.0,0.0,0.0,1.0,109,20,14,0
224,1928,Ireland,38,0.8409090909090909,6,27,24.0,1.0,0.0,0.0,1.0,109,20,14,0
225,1928,Italy,174,0.9230769230769231,15,81,5.0,7.0,5.0,7.0,19.0,109,20,14,0
226,1928,Japan,40,0.9642857142857143,7,31,15.0,2.0,2.0,1.0,5.0,109,20,14,0
227,1928,Latvia,17,0.9166666666666666,6,14,0.0,0.0,0.0,0.0,0.0,109,20,14,0
228,1928,Lithuania,12,0.9230769230769231,4,10,0.0,0.0,0.0,0.0,0.0,109,20,14,0
229,1928,Luxembourg,48,0.9813084112149533,10,31,0.0,0.0,0.0,0.0,0.0,109,20,14,0
230,1928,Malta,9,1.0,1,1,0.0,0.0,0.0,0.0,0.0,109,20,14,0
231,1928,Mexico,30,1.0,6,18,0.0,0.0,0.0,0.0,0.0,109,20,14,0
232,1928,Monaco,10,1.0,4,8,0.0,0.0,0.0,0.0,0.0,109,20,14,0
233,1928,Netherlands,266,0.8567708333333334,17,103,8.0,6.0,9.0,4.0,19.0,109,20,14,1
234,1928,New Zealand,9,0.6153846153846154,3,12,24.0,1.0,0.0,0.0,1.0,109,20,14,0
235,1928,Norway,52,1.0,9,42,19.0,1.0,2.0,1.0,4.0,109,20,14,0
236,1928,Panama,1,1.0,1,2,0.0,0.0,0.0,0.0,0.0,109,20,14,0
237,1928,Philippines,4,1.0,2,6,32.0,0.0,0.0,1.0,1.0,109,20,14,0
238,1928,Poland,93,0.9041095890410958,11,44,21.0,1.0,1.0,3.0,5.0,109,20,14,0
239,1928,Portugal,31,1.0,8,14,32.0,0.0,0.0,1.0,1.0,109,20,14,0
240,1928,Romania,21,0.9393939393939394,2,16,0.0,0.0,0.0,0.0,0.0,109,20,14,0
241,1928,Serbia,34,1.0,6,21,21.0,1.0,1.0,3.0,5.0,109,20,14,0
242,1928,South Africa,24,0.7,7,25,23.0,1.0,0.0,2.0,3.0,109,20,14,0
243,1928,Spain,80,1.0,10,34,24.0,1.0,0.0,0.0,1.0,109,20,14,0
244,1928,Sweden,100,0.8705035971223022,11,66,4.0,7.0,6.0,12.0,25.0,109,20,14,0
245,1928,Switzerland,133,0.9957627118644068,15,70,6.0,7.0,4.0,4.0,15.0,109,20,14,0
246,1928,Turkey,31,1.0,6,17,0.0,0.0,0.0,0.0,0.0,109,20,14,0
247,1928,United States,277,0.8732394366197183,15,96,1.0,22.0,18.0,16.0,56.0,109,20,14,0
248,1928,Uruguay,17,1.0,1,1,24.0,1.0,0.0,0.0,1.0,109,20,14,0
249,1928,Zimbabwe,2,1.0,1,2,0.0,0.0,0.0,0.0,0.0,109,20,14,0
250,1932,Argentina,33,1.0,7,30,12.0,3.0,1.0,0.0,4.0,117,20,14,0
251,1932,Australia,13,0.75,6,17,11.0,3.0,1.0,1.0,5.0,117,20,14,0
252,1932,Austria,19,0.9090909090909091,7,14,18.0,1.0,1.0,3.0,5.0,117,20,14,0
253,1932,Belgium,36,0.6376811594202898,2,10,26.0,0.0,0.0,1.0,1.0,117,20,14,0
254,1932,Brazil,59,0.9552238805970149,5,28,0.0,0.0,0.0,0.0,0.0,117,20,14,0
255,1932,Bulgaria,2,1.0,1,1,0.0,0.0,0.0,0.0,0.0,117,20,14,0
256,1932,Canada,102,0.8638743455497382,10,69,13.0,2.0,5.0,9.0,16.0,117,20,14,0
257,1932,China,1,1.0,1,2,0.0,0.0,0.0,0.0,0.0,117,20,14,0
258,1932,Colombia,2,1.0,2,2,0.0,0.0,0.0,0.0,0.0,117,20,14,0
259,1932,Cuba,3,1.0,1,1,0.0,0.0,0.0,0.0,0.0,117,20,14,0
260,1932,Czech Republic,25,1.0,4,15,17.0,1.0,3.0,2.0,6.0,117,20,14,0
261,1932,Denmark,43,0.7659574468085106,9,34,20.0,0.0,5.0,3.0,8.0,117,20,14,0
262,1932,El Salvador,1,1.0,1,1,0.0,0.0,0.0,0.0,0.0,117,20,14,0
263,1932,Estonia,2,1.0,2,3,0.0,0.0,0.0,0.0,0.0,117,20,14,0
264,1932,Finland,40,1.0,5,36,8.0,5.0,8.0,12.0,25.0,117,20,14,0
265,1932,France,103,0.9308176100628931,13,57,3.0,11.0,5.0,4.0,20.0,117,20,14,0
266,1932,Germany,145,0.9108910891089109,15,67,7.0,5.0,12.0,7.0,24.0,117,20,14,0
267,1932,Great Britain,107,0.8470588235294118,10,50,9.0,5.0,7.0,5.0,17.0,117,20,14,0
268,1932,Greece,10,1.0,3,12,0.0,0.0,0.0,0.0,0.0,117,20,14,0
269,1932,Guatemala,1,0.0,1,1,0.0,0.0,0.0,0.0,0.0,117,20,14,0
270,1932,Haiti,3,1.0,2,3,0.0,0.0,0.0,0.0,0.0,117,20,14,0
271,1932,Hungary,58,0.9830508474576272,11,39,6.0,6.0,5.0,5.0,16.0,117,20,14,0
272,1932,India,19,1.0,3,8,19.0,1.0,0.0,0.0,1.0,117,20,14,0
273,1932,Ireland,16,0.8333333333333334,3,10,16.0,2.0,0.0,0.0,2.0,117,20,14,0
274,1932,Italy,112,1.0,13,61,2.0,12.0,12.0,12.0,36.0,117,20,14,0
275,1932,Japan,157,0.8669950738916257,11,66,5.0,7.0,7.0,4.0,18.0,117,20,14,0
276,1932,Latvia,5,1.0,2,4,22.0,0.0,1.0,0.0,1.0,117,20,14,0
277,1932,Luxembourg,3,1.0,1,3,0.0,0.0,0.0,0.0,0.0,117,20,14,0
278,1932,Mexico,72,0.98,12,52,21.0,0.0,2.0,0.0,2.0,117,20,14,0
279,1932,Monaco,1,1.0,1,1,0.0,0.0,0.0,0.0,0.0,117,20,14,0
